transactions_selected,total_fee,total_gas,total_proof_cost,total_proof_time,total_cost,utilization,runtime_sec,mempool_size,proof_model,algorithm,optimality_gap_percent
18,4133,887,108,1.5497207641601562e-05,995,99.5,4e-05,50,standard,greedy,0.0
18,4133,887,108,1.9073486328125e-05,995,99.5,0.012939,50,standard,dp,0.0
18,4133,887,87.0,3.2067298889160156e-05,974.0,97.4,8.8e-05,50,cached,greedy,1.34
18,4189,915,84.0,1.4424324035644531e-05,999.0,99.9,0.010834,50,cached,dp,0.0
19,4208,913,69.0,1.1006991068522135e-05,982.0,98.2,3.7e-05,50,batch,greedy,1.01
20,4251,928,72.0,1.2119611104329428e-05,1000.0,100.0,0.0128,50,batch,dp,0.0
22,5070,832,151,2.09808349609375e-05,983,98.3,4.6e-05,100,standard,greedy,0.67
22,5104,849,151,3.24249267578125e-05,1000,100.0,0.026885,100,standard,dp,0.0
23,5263,882,112.0,2.2292137145996094e-05,994.0,99.4,4.3e-05,100,cached,greedy,0.75
22,5303,894,112.0,0.0001571178436279297,1006.0,100.6,0.023437,100,cached,dp,0.0
24,5442,923,72.68333333333334,1.1587142944335938e-05,995.6833333333334,99.57,4.4e-05,100,batch,greedy,0.91
23,5492,937,71.86666666666667,1.235802968343099e-05,1008.8666666666667,100.89,0.021155,100,batch,dp,0.0
25,6483,790,200,3.314018249511719e-05,990,99.0,8.1e-05,200,standard,greedy,0.26
25,6500,800,200,2.5272369384765625e-05,1000,100.0,0.042043,200,standard,dp,0.0
27,6873,859,132.0,2.6345252990722656e-05,991.0,99.1,7.9e-05,200,cached,greedy,0.46
27,6905,862,136.0,3.1113624572753906e-05,998.0,99.8,0.042783,200,cached,dp,0.0
29,7335,936,54.43809523809524,1.1885733831496466e-05,990.4380952380952,99.04,0.0001,200,batch,greedy,1.16
29,7421,954,55.96190476190476,9.049688066755022e-06,1009.9619047619047,101.0,0.04349,200,batch,dp,0.0
29,7563,733,261,3.409385681152344e-05,994,99.4,0.000215,500,standard,greedy,0.34
29,7589,739,261,5.91278076171875e-05,1000,100.0,0.108009,500,standard,dp,0.0
34,8516,849,157.5,2.3603439331054688e-05,1006.5,100.65,0.00019,500,cached,greedy,0.66
34,8573,859,157.5,2.4199485778808594e-05,1016.5,101.65,0.102959,500,cached,dp,0.0
39,9550,978,37.490151025445144,5.679317813808108e-06,1015.4901510254451,101.55,0.000185,500,batch,greedy,0.27
39,9576,982,37.558332843626964,5.959889458684351e-06,1019.558332843627,101.96,0.104285,500,batch,dp,0.0
29,7650,710,288,6.198883056640625e-05,998,99.8,0.00061,1000,standard,greedy,0.07
29,7655,712,288,3.695487976074219e-05,1000,100.0,0.215193,1000,standard,dp,0.0
33,8530,807,170.0,2.562999725341797e-05,977.0,97.7,0.000413,1000,cached,greedy,1.76
34,8683,824,175.0,2.586841583251953e-05,999.0,99.9,0.212756,1000,cached,dp,0.0
40,10135,994,20.6668113241609,3.3845354813951292e-06,1014.6668113241609,101.47,0.000375,1000,batch,greedy,0.38
40,10174,1000,20.322895980245555,3.5309886850697084e-06,1020.3228959802456,102.03,0.220343,1000,batch,dp,0.0
29,8167,616,363,4.6253204345703125e-05,979,97.9,0.002286,5000,standard,greedy,1.73
29,8311,635,365,4.5299530029296875e-05,1000,100.0,1.158304,5000,standard,dp,0.0
36,10092,773,234.0,3.325939178466797e-05,1007.0,100.7,0.00213,5000,cached,greedy,0.89
36,10183,784,234.0,3.1113624572753906e-05,1018.0,101.8,1.066976,5000,cached,dp,0.0
46,12666,989,6.190124418560756,9.466637877935997e-07,995.1901244185608,99.52,0.00195,5000,batch,greedy,0.92
47,12784,1000,6.35750028986904,1.4599031406955345e-06,1006.357500289869,100.64,0.954722,5000,batch,dp,0.0
29,8314,606,390,4.9591064453125e-05,996,99.6,0.00458,10000,standard,greedy,0.31
29,8340,610,390,4.601478576660156e-05,1000,100.0,1.800615,10000,standard,dp,0.0
35,10015,734,245.0,3.0875205993652344e-05,979.0,97.9,0.005008,10000,cached,greedy,1.94
36,10213,748,252.0,3.516674041748047e-05,1000.0,100.0,2.152716,10000,cached,dp,0.0
48,13458,1000,3.417941306814042,5.658042508236951e-07,1003.417941306814,100.34,0.004395,10000,batch,greedy,0.03
48,13462,1000,3.4084040718655917,6.447818662431261e-07,1003.4084040718656,100.34,2.100129,10000,batch,dp,0.0
27,7962,556,422,5.030632019042969e-05,978,97.8,0.043349,100000,standard,greedy,1.23
27,8061,558,442,5.841255187988281e-05,1000,100.0,20.64702,100000,standard,dp,0.0
35,10354,700,297.5,4.792213439941406e-05,997.5,99.75,0.044509,100000,cached,greedy,0.9
35,10448,720,297.5,4.947185516357422e-05,1017.5,101.75,20.227249,100000,cached,dp,0.0
50,14698,1000,0.4332992553811964,1.1891422281961351e-07,1000.4332992553811,100.04,0.052191,100000,batch,greedy,0.0
50,14698,1000,0.4332992553811964,1.3037808550251963e-07,1000.4332992553811,100.04,19.764895,100000,batch,dp,0.0
