block_id,proof_model,algorithm,transactions_selected,block_fee,cumulative_fee,utilization,mempool_size_after,runtime_sec
0,standard,greedy,25,6360,6360,98.3,175,0.0
1,standard,greedy,25,5937,12297,99.8,327,0.0
2,standard,greedy,23,5537,17834,99.1,468,0.0
3,standard,greedy,26,6137,23971,98.4,573,0.0
4,standard,greedy,23,5820,29791,99.9,689,0.0
5,standard,greedy,23,5828,35619,98.9,792,0.002008
6,standard,greedy,24,5988,41607,97.2,866,0.0
7,standard,greedy,23,5465,47072,98.0,944,0.0
8,standard,greedy,23,5803,52875,99.9,1030,0.002006
9,standard,greedy,26,6070,58945,99.1,1055,0.000418
10,standard,greedy,24,5879,64824,99.1,1124,0.0
11,standard,greedy,26,6244,71068,99.6,1174,0.001778
12,standard,greedy,23,5756,76824,97.7,1200,0.0
13,standard,greedy,24,5720,82544,100.0,1208,0.0
14,standard,greedy,23,5381,87925,98.3,1231,0.002643
15,standard,greedy,25,6177,94102,99.2,1247,0.0
16,standard,greedy,23,5519,99621,98.2,1305,0.0
17,standard,greedy,23,5853,105474,98.2,1363,0.0
18,standard,greedy,24,5774,111248,97.6,1354,0.001134
19,standard,greedy,24,5745,116993,100.0,1385,0.0
0,standard,dp,24,6174,6174,100.0,176,0.081666
1,standard,dp,24,5521,11695,100.0,328,0.165097
2,standard,dp,22,5322,17017,100.0,469,0.225484
3,standard,dp,24,5659,22676,100.0,586,0.272753
4,standard,dp,23,5943,28619,100.0,686,0.349584
5,standard,dp,25,6001,34620,100.0,770,0.3845
6,standard,dp,25,5591,40211,100.0,841,0.404937
7,standard,dp,24,6036,46247,100.0,899,0.453635
8,standard,dp,22,5599,51846,100.0,983,0.443267
9,standard,dp,23,5795,57641,99.9,1051,0.497004
10,standard,dp,26,6002,63643,99.9,1100,0.439672
11,standard,dp,23,5673,69316,100.0,1148,0.444799
12,standard,dp,23,5900,75216,100.0,1161,0.459678
13,standard,dp,24,5980,81196,99.7,1183,0.530855
14,standard,dp,26,6245,87441,100.0,1230,0.681984
15,standard,dp,23,5946,93387,100.0,1283,0.633144
16,standard,dp,26,6266,99653,100.0,1253,0.639106
17,standard,dp,23,5753,105406,100.0,1289,0.633256
18,standard,dp,25,5760,111166,100.0,1334,0.64747
19,standard,dp,25,6234,117400,100.0,1328,0.665294
0,cached,greedy,28,6876,6876,100.0,172,0.0
1,cached,greedy,26,6288,13164,100.85,321,0.0
2,cached,greedy,26,6245,19409,97.4,449,0.0
3,cached,greedy,26,6019,25428,99.1,563,0.0
4,cached,greedy,27,6540,31968,97.8,658,0.0
5,cached,greedy,28,6948,38916,98.1,741,0.0
6,cached,greedy,26,6102,45018,99.0,814,0.0
7,cached,greedy,28,7057,52075,98.0,876,0.0
8,cached,greedy,27,6793,58868,100.85,921,0.0
9,cached,greedy,26,6050,64918,99.5,943,0.0
10,cached,greedy,28,6517,71435,101.2,992,0.0
11,cached,greedy,27,6696,78131,101.15,1034,0.0
12,cached,greedy,28,6859,84990,99.9,1073,0.0
13,cached,greedy,26,6447,91437,99.6,1108,0.0
14,cached,greedy,28,6447,97884,101.0,1127,0.0
15,cached,greedy,25,5825,103709,99.9,1143,0.0
16,cached,greedy,28,5943,109652,101.3,1202,0.003352
17,cached,greedy,28,6141,115793,100.7,1253,0.0
18,cached,greedy,27,6693,122486,99.05,1261,0.0
19,cached,greedy,28,6801,129287,99.1,1290,0.0
0,cached,dp,28,6438,6438,99.9,172,0.088095
1,cached,dp,27,6162,12600,101.1,325,0.154439
2,cached,dp,24,5527,18127,100.0,467,0.215995
3,cached,dp,26,6089,24216,99.9,580,0.284202
4,cached,dp,27,6240,30456,100.0,673,0.324476
5,cached,dp,26,6187,36643,100.0,751,0.366938
6,cached,dp,27,6198,42841,100.0,826,0.399438
7,cached,dp,26,5968,48809,101.1,902,0.433306
8,cached,dp,25,5892,54701,101.15,975,0.462305
9,cached,dp,28,6814,61515,101.4,1012,0.509739
10,cached,dp,24,5971,67486,101.2,1047,0.537213
11,cached,dp,28,6255,73741,101.4,1083,0.494095
12,cached,dp,24,5678,79419,101.2,1135,0.564643
13,cached,dp,28,6304,85723,101.4,1152,0.5027
14,cached,dp,27,6537,92260,101.35,1171,0.475643
15,cached,dp,26,5917,98177,101.3,1141,0.463052
16,cached,dp,26,6470,104647,101.3,1169,0.540076
17,cached,dp,28,6272,110919,101.4,1156,0.582551
18,cached,dp,28,6950,117869,101.4,1163,0.599162
19,cached,dp,27,6399,124268,101.35,1223,0.593565
0,batch,greedy,29,6868,6868,99.66,171,0.0
1,batch,greedy,27,6530,13398,100.87,321,0.0
2,batch,greedy,30,7151,20549,100.37,441,0.0
3,batch,greedy,29,7104,27653,101.56,549,0.0
4,batch,greedy,29,6852,34505,100.34,637,0.0
5,batch,greedy,31,7089,41594,101.7,699,0.0
6,batch,greedy,29,6747,48341,100.9,753,0.0
7,batch,greedy,28,6801,55142,100.14,824,0.0
8,batch,greedy,33,7458,62600,101.63,841,0.00473
9,batch,greedy,31,7487,70087,101.13,875,0.0
10,batch,greedy,30,6728,76815,101.32,900,0.0
11,batch,greedy,32,7115,83930,100.92,943,0.0
12,batch,greedy,33,8049,91979,100.24,954,0.0
13,batch,greedy,34,8107,100086,101.61,931,0.0
14,batch,greedy,30,7039,107125,101.47,934,0.0
15,batch,greedy,30,7042,114167,101.31,962,0.00164
16,batch,greedy,29,6903,121070,100.93,974,0.0
17,batch,greedy,33,8096,129166,101.21,1030,0.0
18,batch,greedy,29,6933,136099,99.78,1051,0.0
19,batch,greedy,32,7761,143860,100.17,1071,0.001562
0,batch,dp,30,6789,6789,101.2,170,0.077207
1,batch,dp,31,7559,14348,101.39,310,0.143651
2,batch,dp,30,6824,21172,101.59,439,0.214846
3,batch,dp,28,6759,27931,101.38,545,0.266853
4,batch,dp,27,6438,34369,101.88,656,0.330022
5,batch,dp,29,6788,41157,101.6,724,0.359776
6,batch,dp,32,7735,48892,101.56,776,0.405538
7,batch,dp,28,6924,55816,101.53,836,0.412023
8,batch,dp,35,8013,63829,101.83,881,0.449609
9,batch,dp,31,6976,70805,101.66,893,0.461911
10,batch,dp,32,7256,78061,101.57,898,0.460958
11,batch,dp,32,6907,84968,101.63,918,0.462965
12,batch,dp,32,7186,92154,101.59,901,0.4326
13,batch,dp,31,6600,98754,101.56,957,0.430028
14,batch,dp,32,7656,106410,101.14,970,0.756681
15,batch,dp,31,7041,113451,101.5,968,0.892057
16,batch,dp,31,7220,120671,101.44,976,0.901912
17,batch,dp,28,6774,127445,101.24,1022,0.918038
18,batch,dp,30,6837,134282,101.43,1070,0.942562
19,batch,dp,30,7128,141410,101.34,1053,0.920597
